% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.817093392e+01 +1.817093392e+01 +2.504093392e+01 +2.504093392e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +1.098337610e+01 +1.098337610e+01 +1.785337610e+01 +1.785337610e+01 +2.5424e+00 -1.5589e+00 -4.8976e+00 -7.7879e-01 +1.5567e-01 +4.7599e+00 +4.2425e-01 -2.7395e+00 +2.3468e+00 -3.9378e+00 +3.9188e+00 -2.3396e+00 -5.2576e-01 +1.6233e+00 -4.9566e+00 -2.2760e+00 +4.6875e+00 +1.0591e+00 -3.3938e+00 +4.8580e+00
4 +8.653494844e+00 +8.653494844e+00 +1.552349484e+01 +1.552349484e+01 +2.5485e+00 -1.5595e+00 -4.9078e+00 -7.8391e-01 +1.2760e-01 +4.7640e+00 +4.3227e-01 -2.7281e+00 +2.3532e+00 -3.9610e+00 +3.9188e+00 -2.3565e+00 -5.3459e-01 +1.6300e+00 -4.9559e+00 -2.2789e+00 +4.6626e+00 +1.0587e+00 -3.4001e+00 +4.8572e+00
8 +6.820398160e+00 +6.820398160e+00 +1.369039816e+01 +1.369039816e+01 +2.5430e+00 -1.5591e+00 -4.9049e+00 -7.8160e-01 +1.5328e-01 +4.7624e+00 +4.2872e-01 -2.7406e+00 +2.3540e+00 -3.9406e+00 +3.9156e+00 -2.3335e+00 -5.2748e-01 +1.6149e+00 -4.9562e+00 -2.2778e+00 +4.6775e+00 +1.0558e+00 -3.3960e+00 +4.8574e+00
15 +3.869572308e+00 +3.869572308e+00 +1.073957231e+01 +1.073957231e+01 +2.5398e+00 -1.5643e+00 -4.9079e+00 -7.8465e-01 +1.3020e-01 +4.7584e+00 +4.2076e-01 -2.7387e+00 +2.3558e+00 -3.9475e+00 +3.9207e+00 -2.3412e+00 -5.3304e-01 +1.6194e+00 -4.9567e+00 -2.2806e+00 +4.7067e+00 +1.0588e+00 -3.3938e+00 +4.8580e+00
265 +3.782801008e+00 +3.782801008e+00 +1.065280101e+01 +1.065280101e+01 +2.5331e+00 -1.5644e+00 -4.8810e+00 -7.8151e-01 +7.3146e-02 +4.7589e+00 +4.2833e-01 -2.7438e+00 +2.3568e+00 -3.9321e+00 +3.9212e+00 -2.3347e+00 -5.3265e-01 +1.6192e+00 -4.9579e+00 -2.2818e+00 +4.6794e+00 +1.0593e+00 -3.4074e+00 +4.8584e+00
492 +3.503638805e+00 +3.503638805e+00 +1.037363881e+01 +1.037363881e+01 +2.5463e+00 -1.5453e+00 -4.9090e+00 -7.8119e-01 +4.4123e-02 +4.7634e+00 +3.7932e-01 -2.7258e+00 +2.3537e+00 -3.9407e+00 +3.9328e+00 -2.3554e+00 -5.0998e-01 +1.6041e+00 -4.9632e+00 -2.2787e+00 +4.6889e+00 +1.0629e+00 -3.4476e+00 +4.8533e+00
531 +3.074933725e+00 +3.074933725e+00 +9.944933725e+00 +9.944933725e+00 +2.5615e+00 -1.5613e+00 -4.9068e+00 -7.7812e-01 +8.4442e-02 +4.7737e+00 +4.4052e-01 -2.7396e+00 +2.3521e+00 -3.9374e+00 +3.9000e+00 -2.3554e+00 -5.2505e-01 +1.6207e+00 -4.9596e+00 -2.2867e+00 +4.6752e+00 +1.0653e+00 -3.4899e+00 +4.8587e+00
671 +2.484187124e+00 +2.484187124e+00 +9.354187124e+00 +9.354187124e+00 +2.5480e+00 -1.5870e+00 -4.8960e+00 -7.8596e-01 +5.1610e-02 +4.7820e+00 +4.0316e-01 -2.7256e+00 +2.3227e+00 -3.9276e+00 +3.9117e+00 -2.3609e+00 -5.1947e-01 +1.6167e+00 -4.9599e+00 -2.2710e+00 +4.6915e+00 +1.0633e+00 -3.4392e+00 +4.8570e+00
881 +1.984741553e+00 +1.984741553e+00 +8.854741553e+00 +8.854741553e+00 +2.5401e+00 -1.5691e+00 -4.8916e+00 -7.8935e-01 +2.2464e-02 +4.7265e+00 +4.4392e-01 -2.7391e+00 +2.3655e+00 -3.9299e+00 +3.9102e+00 -2.3495e+00 -5.2343e-01 +1.6278e+00 -4.9577e+00 -2.2747e+00 +4.6606e+00 +1.0610e+00 -3.4224e+00 +4.8526e+00
